,id,title,price,rooms,surface,floor,description,bathroom,heating,garage,furniture,location,seller,seller_name
10,99528616,"
Piso en calle de la jara, Hoyo de Manzanares
",930€/mes,3 hab.,135 m²,Planta 3ª exterior con ascensor,,2 baños,Calefacción individual: Gas natural,Plaza de garaje incluida en el precio,Amueblado y cocina equipada,"
Calle de la jara
;
Hoyo de Manzanares
;
Zona noroeste, Madrid
","
Profesional
","
Family Home

"
11,98094435,"
Piso en calle de Calatrava, 4, Palacio, Madrid
",2.450€/mes,1 hab.,70 m²,Planta 1ª exterior con ascensor,"
TODO INCLUIDO. Alquiler por meses de 1 a 11. Perfecto para alquiler corporativo o por meses.Tras una minuciosa rehabilitación, este espléndido edificio ha sabido conjugar su identidad clásica, el confort más actual, calidades de alta gama y diseño de vanguardia.Le invitamos a conocer más a fondo este singular proyecto donde la comodidad, el gusto por los detalles y la excelente ubicación son sinónimo de calidad de vida. Entre. Está en su casa.Se ha hecho especial hincapié en el aislamiento térmico, acústico y en la búsqueda de la máxima eficiencia energética, como por ejemplo el aislamiento de la cubierta desde el interior.PRECIO JUNIO-AGOSTO: 2000 €/mesPRECIO A PARTIR DE SEPTIEMBRE: 2400/mesSERVICIOS INCLUIDOS EN EL PRECIO:1. Suministros hasta un máximo de 150 € (luz, agua y calefacción).2. Internet de alta velocidad.3. Limpieza semanal.4. Servicio de atención al cliente 24h.5. Equipado con sábanas y toallas.¿QUÉ ENCONTRARÁS EN NUESTRA VIVIENDA?1. Interiorismo llevado a cabo por el estudio CODOO.2. Cerradura electrónica.3. Pack de bienvenida.4. Amenities de Rituals.5. Cama de calidad hotelera. (1.50x2.00)6. Cocina con menaje y pequeño electrodoméstico.7. Sábanas y toallas premium.8. Lavadora/Secadora.9. Nespresso.10. Mascotas permitidas (preguntar condiciones).11. Jardín en la zona común.
",1 baño,Calefacción individual: Gas natural,,Amueblado y cocina equipada,"
Calle de Calatrava, 4
;
Barrio Palacio
;
Distrito Centro
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
Pablo Sánchez Romero

"
12,99528601,"
Piso en calle Claudio Coello, 51, Recoletos, Madrid
",2.100€/mes,3 hab.,120 m²,Planta 2ª exterior con ascensor,"
Alquilo estupendo piso recién reformado y amueblado.Edificio muy bien ubicado, todos los servicios que te puedas imaginar por alrededor.
",2 baños,Calefacción central: Gas,Plaza de garaje incluida en el precio,Amueblado y cocina equipada,"
Calle Claudio Coello, 51
;
Barrio Recoletos
;
Distrito Barrio de Salamanca
;
Madrid
;
Madrid capital, Madrid
","
","

David

"
13,99406839,"
Ático en Lista, Madrid
",5.700€/mes,4 hab.,222 m²,Planta 6ª exterior con ascensor,"
Colomba Boutique Inmobiliaria alquila ESPECTACULAR piso ático con terraza de 36 m2 en el Barrio de Salamanca.El piso ha sido completamente reformado con altísimas calidades y buen gusto. Luminoso y con una terraza de unos 36㎡ este piso a estrenar le encantará. Dispone de plaza de parking para 1 coche en la misma finca. La distribución es la siguiente:Hall de entrada con un aseo de cortesía y armario gabanero.Gran salón comedor con cocina abierta. Electrodomesticos de alta gama (NEFF). Todo con salida a la magnifica terraza. Referente a las habitaciones, el piso consta de una habitación principal en suite con muchos armarios, vestidor y un baño completo bañera, ducha y ventana para buena ventilación. Dos otras habitaciones con armarios empotrados y que comparten un baño igualmente con ventana al exterior. La habitación de servicio es igualmente en suite (con su baño incorporado) Lavadero/tendedero con lavadora/secadora. El piso está ubicado en Salamanca en una de las mejores calles del Barrio, cerca de comercios, restaurantes, transportes etc.Ideal para una familiaDisponible inmediatamente. Colomba Real EstateAgents immobiliers français et espagnolsWe speak EnglishFalamos portuguêsPara más opciones en nuestra web: www colomba es.
",4 baños,Calefacción central: Gas,,Cocina equipada y casa sin amueblar,"
;
Barrio Lista
;
Distrito Barrio de Salamanca
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
Patricia Guillaumet

"
14,420928,"
Piso en calle Barrio Verde, 6, Cella
",400€/mes,4 hab.,90 m²,Planta 3ª exterior sin ascensor,"
Piso céntrico, próximo a centro de salud, colegios, instituto, polideportivo, etc.Buena comunicación con Teruel; Valencia; Zaragoza; MadridEl piso está en 2ª planta (no en 3ª).Dispone, además de la bomba de calor, de calefacción con gasóleo.
",1 baño,Calefacción individual: Bomba de frío/calor,,Amueblado y cocina equipada,"
Calle Barrio Verde, 6
;
Cella
;
Área de Teruel, Teruel
","
Particular
","

RAMON FUERTES RAJADEL

"
15,99304302,"
Piso en calle de Londres, L'Antiga Esquerra de l'Eixample, Barcelona
",2.240€/mes,2 hab.,108 m²,Planta 1ª exterior con ascensor,"
Este apartamento completamente amueblado y listo para disfrutar está disponible desde 08-11-2022.Ofrecemos precios personalizados para cualquier duración. Las tarifas pueden variar según las fechas exactas de entrada y salida.La tarifa de este piso comienza en € 2020* / mes. Visite nuestro sitio web e ingrese las fechas de su estadía para ver los precios actualizados para su reserva específica.Los precios citados: (1) se basan en ingresar al apartamento en el primer día que la unidad esté disponible, (2) se aplican sólo si se factura por adelantado; puede ser mayor si se factura en múltiples pagos, (3) no incluye servicios.Siéntete en casa allí donde elijas vivir con Blueground. Te encantará este apartamento de dos dormitorios amplio totalmente equipado en Antiga Esquerra de l'Eixample, con su decoración moderna, su cocina totalmente equipada y su salón lujoso con estupendas vistas desde el balcón. Gracias a su ubicación ideal, ¡estarás cerca de todo lo que Madrid tiene que ofrecer! (ID BCN51)Diseñado pensando en tiUn mobiliario espectacular, una cocina totalmente equipada, un televisor inteligente o un altavoz inalámbrico de calidad óptima son solo algunas de la comodidades que encontrarás en este apartamento de dos dormitorios. Con una ubicación ideal en Barcelona, también encontrarás muchos atractivos en la zona. Cuando llegue el momento de relajarse, te alegrarás de descubrir que todas las habitaciones de Blueground incluyen colchones de calidad superior, ropa de cama de lujo y toallas confortables. Nos ocupamos de todo para que solo tengas que llegar y empezar a vivir.DormitoriosCama Queen size (160cm/63in) Cama Queen size (160cm/63in) ServiciosLos servicios exclusivos del edificio para este apartamento de dos dormitorios incluyen:AscensorLavadoraRecibimiento y asistencia continua¡Ya puedes empezar a disfrutar del apartamento! Un miembro del equipo de Blueground te dará la bienvenida personalmente o se te proporcionarán instrucciones para que puedas ingresar tú mismo directamente.Durante tu estancia, tendrás acceso a nuestro equipo de experiencia del cliente a través de la aplicación de Blueground. Con solo unos toques, podrás programar limpiezas adicionales, enviar solicitudes de mantenimiento y ver nuestras recomendaciones sobre el barrio.Compartiremos todos los detalles cuando confirmes tu estancia.El barrioElegantes calles y edificios, en el centro de la ciudad y con el mejor ambiente, L’Eixample es globalmente reconocido como el lugar donde el diseño, la arquitectura y el arte se unen y conectan. Ideal para ir de compras, cenar alrededor de Plaza Cataluña o en Paseo de Gracia, o incluso visitar los maravillosos diseños de Antoni Gaudi. L'Antiga Esquerra de l'Eixample es la sede de la Universidad de Barcelona, por lo que abunda la gente joven y el buen ambiente. Los mejores cafés, bares y restaurantes, así como también destacan el Mercado de Ninot, con múltiples opciones para comer y teatros.Otras cosas a tener en cuentaEste apartamento Blueground se puede reservar para un mínimo de Un mes, hasta un año o más.
",2 baños,Calefacción individual,,Amueblado y cocina equipada,"
Calle de Londres
;
Urb. Antiga Esquerra de l'Eixample
;
Barrio L'Antiga Esquerra de l'Eixample
;
Distrito Eixample
;
Barcelona
;
Área de Barcelona, Barcelona
","
Profesional
","
Dpto Comercial .

"
16,99528590,"
Piso en Cuatro Caminos, Madrid
",1.500€/mes,2 hab.,90 m²,Bajo exterior sin ascensor,"
MHG BIENES RAÍCES INTERNATIONAL GROUPS SL presenta en alquiler fantástico piso recién reformado DISPONIBLE A PARTIR DE MEDIADOS DE ENERO.Bajo exterior con altura de primero, con amplias ventanas y mucha luz en todas las estancias. Vivienda muy acogedora tanto para familias como para profesionales. SE ALQUILA SIN AMUEBLAR.La vivienda tiene una superficie de aproximadamente 90m2 distribuidos en un amplio salón-comedor con cocina americana, dos dormitorios y dos baños. Muchísima luz. Todo nuevo. Un dormitorio con vestidor en suite y otro muy amplio. Consta de aire acondicionado por splits. Gastos en calefacción muy bajos por pasar tuberías de la general por paredes de la casa. Comunidad incluida.Zona de día:-Salón diáfano -Cocina americana equipada con todos los electrodomésticos (frigorífico, vitro, lavadora, lavavajillas, microondas y horno)Zona de noche:-Amplio dormitorio principal con cama matrimonial con baño en suite y gran vestidor.-Segundo amplio dormitorio que da al exterior y armario empotrado.-Segundo baño completo con bañera.Reúne todo lo que alguien querría tener a su disposición: colegios, hospitales, centros culturales, parques, terrazas. Además, es una zona céntrica de Madrid, con mucho comercio tradicional y buenas comunicaciones.No se admiten mascotas.¡Todo esto hace una excelente oportunidad para vivir y/o invertir!No pierdas la oportunidad y llámanos para concertar una visita.
",2 baños,Calefacción central,,Cocina equipada y casa sin amueblar,"
;
Barrio Cuatro Caminos
;
Distrito Tetuán
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
Belén Colugnatti Preisler

"
17,98429488,"
Piso en calle de Sta. Brígida, Chueca-Justicia, Madrid
",2.140€/mes,1 hab.,56 m²,Planta 4ª exterior con ascensor,"
Este apartamento estará disponible desde el 20-11-2022.Ofrecemos precios personalizados para cualquier duración. Las tarifas pueden variar según las fechas exactas de entrada y salida.La tarifa de este piso comienza en € 2050* / mes. Visite nuestro sitio web e ingrese las fechas de su estadía para ver los precios actualizados para su reserva específica.Los precios citados: (1) se basan en ingresar al apartamento en el primer día que la unidad esté disponible, (2) se aplican sólo si se factura por adelantado; puede ser mayor si se factura en múltiples pagos, (3) no incluye servicios.Descubre lo mejor de Madrid, con este apartamento de un dormitorio en Chueca Justicia con vistas a la ciudad desde el balcón. Es muy fácil llegar y empezar a vivir en este lujoso apartamento amueblado de Blueground con su cocina totalmente equipada, salón luminoso y nuestra asistencia exclusiva in situ. (ID MAD45)Diseñado pensando en tiUn mobiliario espectacular, una cocina totalmente equipada, un televisor inteligente o un altavoz inalámbrico de calidad óptima son solo algunas de la comodidades que encontrarás en este apartamento de un dormitorio. Con una ubicación ideal en Madrid, también encontrarás muchos atractivos en la zona. Cuando llegue el momento de relajarse, te alegrarás de descubrir que todas las habitaciones de Blueground incluyen colchones de calidad superior, ropa de cama de lujo y toallas confortables. Nos ocupamos de todo para que solo tengas que llegar y empezar a vivir.DormitoriosCama Queen, 160cm/63inServiciosLos servicios exclusivos del edificio para este apartamento de un dormitorio incluyen:AscensorRecibimiento y asistencia continua¡Ya puedes empezar a disfrutar del apartamento! Un miembro del equipo de Blueground te dará la bienvenida personalmente o se te proporcionarán instrucciones para que puedas ingresar tu mismo directamente.Durante tu estancia, tendrás acceso a nuestro equipo de experiencia del cliente a través de la aplicación de Blueground. Con solo unos toques, podrás programar limpiezas adicionales, enviar solicitudes de mantenimiento y ver nuestras recomendaciones sobre el barrio.Compartiremos todos los detalles cuando confirmes tu estancia.Ubicación idealEl distrito Centro es el corazón de Madrid, donde encontrarás los mejores atractivos de Madrid a solo unos minutos andando. Vida nocturna, historia, museos y todo lo que necesites para vivir Madrid con toda su energía. Aquí encontrarás el Museo del Prado, el Thyssen o el Reina Sofía, la Plaza del Sol y la Plaza Mayor, los espectáculos de la Gran Vía o incluso la mejor vida al aire libre con el Parque del Retiro. Chueca/Justicia es el corazón de los mercados de San Antón y Plaza del 2 de Mayo, así como también múltiples tiendas. Encontrarás también mucha variedad de bares, cafés, clubs y restaurantes. Por la noche podrás visitar el Museo de Historia de Madrid con múltiples shows.Otras cosas a tener en cuentaLos servicios del edificio pueden tener un coste adicional.Este apartamento Blueground se puede reservar para un mínimo de Un mes, hasta un año o más.
",1 baño,Calefacción individual: Eléctrica,,Amueblado y cocina equipada,"
Calle de Sta. Brígida
;
Urb. Chueca/Justicia
;
Barrio Chueca-Justicia
;
Distrito Centro
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
BLUEGROUND ESPAÑA S.L.U.

"
18,99528518,"
Piso en calle de Hermosilla, Fuente del Berro, Madrid
",1.300€/mes,3 hab.,99 m²,Planta 2ª exterior con ascensor,"
Inmobiliaria A. G. A. Antonaya S. A. U alquila este piso en la Calle Hermosilla. El piso consta de 3 dormitorios, todos ellos con armario empotrado y uno de ellos con balcon, cuarto de baño recien reformado y con plato de ducha, cocina amueblada que se entregaría con lavadora, lavavajillas y frigorifico y el horno y la vitroceramica a estrenar y amplio salón con pequeña terraza. La vivienda dispone de aire acondicionado en salon y pasillo. El piso se encuentra muy cerca del Wizink Center, del parque de la Fuente del Berro y de la Plaza de Manuel Becerra donde se encuentran todos tipo de servicios esenciales, asi como paradas de autobuses y metro.Las condiciones para el alquiler son:- Contratos de trabajo indefinidos- 1 mes de fianza- 1 mes de honorarios de agencia.
",1 baño,Calefacción individual: Gas natural,,Amueblado y cocina equipada,"
Calle de Hermosilla
;
Barrio Fuente del Berro
;
Distrito Barrio de Salamanca
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
A.G.A. Antonaya S.A.U

"
19,98003210,"
Casa o chalet independiente en Santo Domingo
",4.500€/mes,6 hab.,600 m²,,"
GREENLIVING ofrece en alquiler esta magnífica casa independiente, lista para entrar y vivir en un entorno único, muy acogedor, en el que la luz, la naturaleza y los amplios espacios son los protagonistas.Construida en parcela con movimiento, de unos 3.700 m2 con unas magníficas vistas al horizonte, sin vecinos enfrente, en una zona muy tranquila y con gran privacidad, arbolada y con movimiento, llena de rincones para disfrutar del jardín y la piscina.De cómoda y agradable distribución en 3 plantas, con amplísimo espacio en la planta de entrada para hacer la vida diaria en ella. Al entrar encontramos un luminoso y muy espacioso hall que hace las veces de distribuidor. De frente al mismo se encuentra un salón comedor de grandes dimensiones, con una preciosa chimenea, muy amplio y con grandes ventanales que dan a un magnífico porche y al jardín, a la izquierda una habitación hace las veces de despacho, con chimenea y salida al porche. Un aseo de visitas y la entrada a la habitación principal con un pasillo de armarios a modo de vestidor, el baño principal con ducha y bañera con jacuzzi y el dormitorio de dimensiones generosas. Saliendo al hall otra puerta a la derecha nos lleva a la cocina, con zona de comedor de diario, dormitorio y baño de servicio y salida al jardín, la cocina equipada con electrodomésticos.Subiendo la bonita escalera a la primera planta encontramos la zona de descanso; cuatro amplios dormitorios con tres baños (dos de ellos con el baño incluido) y todos con bonitas vistas, buenos armarios empotrados y orientación sur. La planta baja alberga varios cuartos: trastero, cuarto de calderas, de lavado, despensa y el garaje con capacidad para tres o cuatro coches. Toda la casa tiene paredes lisas, alarma, calefacción de gas natural con acumulador nuevo, persianas automáticas en toda la planta de entrada.  En el exterior una piscina soleada, tipo desbordant y en perfecto funcionamiento, rodeada de un precioso jardín consolidado, con movimiento y rodeado de parterres y árboles muy cuidados, pista de tenis.En el alquiler se incluyen los gastos del mantenimiento del jardín y la piscina.La vivienda se ubica en una zona muy agradable de la urbanización Santo Domingo (salida 28 de la A-1 dirección Burgos), junto a algunos pisos y chalets adosados, lo componen sobre todo casas independientes en parcelas con un mínimo de 1.000 m2. Al ser una comunidad muy familiar, dispone de todos los servicios para una vida cómoda: autobuses interurbanos, farmacia, supermercado, banco, floristería, taller de reparación de coches, parroquia, veterinario, policía, servicio médico, correos, clínica dental, óptica, un colegio público bilingüe, varios restaurantes y seguridad 24 horas, además de un club social con zona de restaurante, pistas de pádel y tenis y piscina. Con acceso a diez minutos del hospital más cercano y a viente minutos del aeropuerto de Barajas y de Madrid.
",6 baños,Calefacción individual: Gas natural,Plaza de garaje incluida en el precio,Cocina equipada y casa sin amueblar,"
;
Santo Domingo
;
Zona norte, Madrid
","
Profesional
","
Profesional Greenliving

"
20,99528366,"
Estudio en calle de Tarragona, 40, Palos de Moguer, Madrid
",575€/mes,,20 m²,Bajo interior con ascensor,"
No Agencias, Gracias.Bonito estudio recién reformado junto al Paseo de las Delicias para estancia de tres meses. Disponible del 10 de Diciembre al 10 de Marzo. Para una sola persona. Ideal si necesitas un espacio de tiempo corto. Manda mensaje con tu nombre, edad, algún dato que quieras aportar sobre ti, y confirma por qué te interesan estas fechas concretas. Los mensajes contestados con un click: (Hola, me interesa este piso y me gustaría hacer una visita) serán bloqueados. Gracias, un saludo.
",1 baño,,,Amueblado y cocina equipada,"
Calle de Tarragona, 40
;
Barrio Palos de Moguer
;
Distrito Arganzuela
;
Madrid
;
Madrid capital, Madrid
","
Particular
","

Víctor

"
