,id,time,title,price,rooms,surface,floor,description,bathroom,heating,garage,furniture,location,seller,seller_name
10,99644109,22/11/2022 19:11:59,"
Casa de pueblo en plaza del Ayuntamiento, Valdilecha
",995€/mes,6 hab.,240 m²,,"
Bonita y luminosa casa de 240m2 en pleno centro de Valdilecha.La casa posee unas preciosas vistas a la plaza del Ayuntamiento. Está distribuida en 3 plantas, con un amplio salón, 6 grandes dormitorios, 2 baños completos, 1 cocina amueblada, una gran buhardilla y 1 amplio garaje.Se encuentra cercana a los principales puntos de interés y ocio de ValdilechaTiene conexión a Madrid a través del autobús N313 y se encuentra cercana a pueblos como Campo Real, Morata de Tajuña o Perales de Tajuña.
",2 baños,,Plaza de garaje incluida en el precio,Cocina equipada y casa sin amueblar,"
Plaza del Ayuntamiento
;
Valdilecha
;
Zona sureste, Madrid
","
Profesional
","
Julián Gómez

"
11,99374173,22/11/2022 19:12:00,"
Piso en calle de Maldonado, Lista, Madrid
",3.700€/mes,4 hab.,200 m²,Planta 2ª exterior con ascensor,"
Espacioso y luminoso piso en edificio señorial con portero físico, en pleno barrio de Salamanca, uno de los distritos más exclusivos de la capital. Situado en la segunda planta, la vivienda con una superficie de 200m2 que se distribuyen en amplio salón comedor con orientación sur, terrazas con vistas al parque, cuatro habitaciones, tres baños y un aseo. El piso dispone además de Instalación de aire acondicionado y cocina completamente equipada con zona de lavado. El precio incluye dos plazas de garaje y un trastero.** CALEFACCIÓN INCLUIDA EN EL PRECIO **.
",4 baños,Calefacción central,Plaza de garaje incluida en el precio,Cocina equipada y casa sin amueblar,"
Calle de Maldonado
;
Barrio Lista
;
Distrito Barrio de Salamanca
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
LivingMad Madrid

"
12,99643986,22/11/2022 19:12:01,"
Piso en calle de Andrés Mellado, 34, Gaztambide, Madrid
",2.500€/mes,4 hab.,117 m²,,"
MAGNÍFICO PISO A ESTRENAR EN GAZTAMBIDE-MONCLOAPiso recién reformado de cuatro habitaciones con tres baños, uno de ellos en suite. Cocina amueblada y totalmente equipada con electrodomésticos de primeras marcas, comedor y sala de estar.Completamente amueblado, calefacción individual y equipado con primeras calidades.Portero físico.Disponible para visitas a partir del viernes 25 de noviembre.Comunidad incluida en la renta.Titularidad de los suministros de luz, gas y agua a nombre del inquilino.NO AGENCIAS NI INMOBILIARIAS.
",3 baños,Calefacción individual: Gas natural,,Amueblado y cocina equipada,"
Calle de Andrés Mellado, 34
;
Barrio Gaztambide
;
Distrito Chamberí
;
Madrid
;
Madrid capital, Madrid
","
","

Gonzalo

"
13,99245963,22/11/2022 19:12:02,"
Piso en calle del Espíritu Santo, 17, Sol, Madrid
",1.300€/mes,1 hab.,35 m²,Planta 3ª interior sin ascensor,"
Para más viviendas como está, visita nuestra pagina web bepremiumrealestate. net (enlace al final de este anuncio).Be Premium real estate ofrece en alquiler piso en pleno barrio de Malasaña.La vivienda se distribuye en: salón-comedor, cocina integrada totalmente equipada( victroceramica, lavadora, microondas, cafetera, y nevera. ) dormitorio con cama 1.50x1.90 canapé abatible con gran capacidad de almacenaje, baño con plato de ducha.El inmueble dispone de aire acondicionado frio/calor y calefacción individual eléctrica.La finca cuenta con portero automático.Malasaña es uno de los barrios históricos más emblemáticos del centro de Madrid, actualmente está viviendo un nuevo auge con la peatonalización de sus calles, la numerosa oferta cultural, tiendas de diseño, pequeños restaurantes con encanto e infinidad de terrazas en sus inmediaciones.Perfectamente ubicado, con varias líneas de metro y red de autobuses.Debe su nombre a la bordadora Manuela Malasaña, unas de las protagonistas del levantamiento de Madrid contra las tropas napoleónicas. Centro neurálgico de la Movida Madrileña, movimiento sociocultural que surgió a mediados de los años 70, en plena transición española y que se caracterizó por ser una nueva forma de expresión y estilo de vida.Muy buena comunicación con el transporte público gracias a las Estaciones de Metro de Tribunal (L1, L10) y sin contar las numerosas líneas de autobuses. ""REF: PC1910.
",1 baño,Calefacción individual,,Amueblado y cocina equipada,"
Calle del Espíritu Santo, 17
;
Barrio Sol
;
Distrito Centro
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
Be Premium Real Estate .

"
14,99643522,22/11/2022 19:12:03,"
Piso en calle Eros, 7, Legazpi, Madrid
",1.350€/mes,2 hab.,95 m²,Planta 6ª exterior con ascensor,"
Magnífica vivienda situada al lado de la estación sur de autobuses de Méndez Álvaro y muy cerca también de la parada de metro y Renfe, así como de los distintos accesos en vehículo privado y cercanía Atocha entre otros. La vivienda se encuentra en perfecto estado y listo para poder habitarla, ya que se han realizado trabajos de pintura y mantenimiento entre otros. Es una vivienda de dos dormitorios, dos baños y cocina equipada con todo tipo de electrodoméstico saliendo un pequeño tendedero. El salón de la vivienda es amplio y cómodo dando vistas al exterior e interior de la comunidad. Es una vivienda con mucha luz, muy tranquilo por sus ventanas de puente térmico. Dispone de armarios empotrados en el pasillo, así como cada dormitorio. Cuenta con plaza de garaje cómoda y trastero. De zonas comunes dispone de servicio de conserjería 24 h. , zona de juegos infantil, pista de paddel, piscina y gimnasio. PARTICULAR - No atenderemos a Agencias. Gracias.
",2 baños,,Plaza de garaje incluida en el precio,Cocina equipada y casa sin amueblar,"
Calle Eros, 7
;
Barrio Legazpi
;
Distrito Arganzuela
;
Madrid
;
Madrid capital, Madrid
","
","

Javier

"
15,98962012,22/11/2022 19:12:04,"
Piso en calle de Don Quijote, 22, Cuatro Caminos, Madrid
",1.200€/mes,1 hab.,35 m²,,"
[ESP] DISPONIBLE EN: Diciembre. Reserve en línea haciendo clic bajo el mapa en ""Enlace adicional"". [ENG] AVAILABLE FROM: December. Book online by clicking on ""additional link"" under the map. [ESP] No se aceptan alquileres inferiores a 1 mes [ENG] Rentals of less than 1 month are not accepted [ESP] Edad aceptada: 18 - 35 [ENG] Age accepted: 18 - 35Fianza/Deposit: 1300Costes de apertura del contrato/Contract opening fees: - 200.0 including: check-in + cleaning costs. Charged only at the signature of the contractAviso de cancelación/Notice of cancellation: 2 meses/months*************[ESP] ¿CÓMO FUNCIONA ROOMLESS?Roomless es una plataforma online de alquileres de media-larga duración que nace como garantía para el inquilino: comprobamos todos los pisos y las fotos son recientes y fiables para que puedas reservar online con tranquilidad para evitar que alguien lo haga antes que tú. Para reservar en línea, siga el enlace que aparece al final de la página (debajo del mapa) y haga clic en ""alquilar ahora"".Si necesita ayuda, póngase en contacto con nosotros y le ayudaremos.[ENG] HOW DOES ROOMLESS WORK?Roomless is an online platform for medium-long term rentals that was created as a guarantee for the tenant: we check all the apartments and the photos are recent and reliable so you can book online with peace of mind to avoid someone else doing it before you.To book online, follow the link at the end of the page (under the map) and click on ""rent now"".If you need help, contact us and we will help you.*************.
",1 baño,Calefacción individual: Gas natural,,Amueblado y cocina equipada,"
Calle de Don Quijote, 22
;
Barrio Cuatro Caminos
;
Distrito Tetuán
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
roomless .

"
16,99643854,22/11/2022 19:12:05,"
Piso en Campamento, Madrid
",1.200€/mes,4 hab.,158 m²,Planta 4ª exterior con ascensor,"
( Disponible para el 15 de Diciembre del 2022)*MARAVILLOSO PISO EN LA DEHESA DEL PRINCIPE *( Cuatro Vientos). Urbanización privada con todo tipo de servicios, supermercado, colegios, farmacia, ZONAS COMUNES, ZONA INFANTIL.Se alquila maravilloso Piso SIN AMUEBLAR, muy luminoso.La vivienda cuenta con 158 metros cuadrados distribuidos en: Una bonita cocina independiente completamente amueblada y equipada con electrodomésticos y con una amplia zona de office. Un gran salón-comedor muy amplio y luminoso gracias a los ventanales con los que cuenta y que dan salida a la terraza, 4 dormitorios con armarios empotrados y 2 baños completos.El inmueble está equipado con aparatos de aire acondicionado en el salón y calefacción de gas natural individual.Autobuses, metro y Renfe de Cuatro Vientos en la puerta.Zona muy selecta con un entorno de ensueño.“MEJOR VER”.
",2 baños,Calefacción individual: Gas natural,,Cocina equipada y casa sin amueblar,"
;
Barrio Campamento
;
Distrito Latina
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
Find House Inmobiliaria INMOBILIARIA

"
17,98917586,22/11/2022 19:12:06,"
Chalet pareado en Palomas, Madrid
",3.300€/mes,6 hab.,350 m²,,"
Colomba Boutique Inmobiliaria alquila, agradable chalet pareado amplio y luminoso. Bonito patio delantero, jardin y piscina privada. Disponible inmediatamentePlanta principal: Hall de entrada, aseo invitados, gran salón y comedor, amplia cocina equipada y abierta al comedor. Salida a la terraza/porche, jardin y piscina privado. Planta Superior: - Dormitorio principal con vestidor y baño incorporado- 3 otros dormitorios que comparten un bañoBuhardilla: Luminosa e muy amplia buhardilla con 2 dormitorios y 1 cuarto de baño completo con ducha. Estas habitaciones estan muy bien tambien para un despacho, sala de juegos o cineSemi sótano:Grande sala de juegos con mesa de billar, mesa de ping pong, y futbolín. Espacio para trastero. - Calefacción y climatización por suelo radiante con aerotermia. Es importante resaltar que el sistema de aerotermia aporta grandes economias. - Plaza de parking exterior cubierta.Cuanto a la ubicación, el chalet está muy bien localizado cerca de comercios, transportes y servicios. Rápido acceso a M-40, M-30, A-2, Aeropuerto, Ifema, Parque de Juan Carlos I, Parque de Juan Pablo II, Parque del Capricho, Club de golf etc.. .IDEAL PARA VIVIR EN FAMILIAColomba Real EstateAgents immobiliers français et espagnolsWe speak EnglishFalamos portuguêsMás informaciones en nuestra webwww. Colomba esNo dude en solicitar una visita!
",4 baños,Calefacción individual: Gas natural,Plaza de garaje incluida en el precio,Cocina equipada y casa sin amueblar,"
;
Barrio Palomas
;
Distrito Hortaleza
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
Patricia Guillaumet

"
18,99642129,22/11/2022 19:12:07,"
Piso en calle de Meléndez Valdés, 18, Arapiles, Madrid
",850€/mes,2 hab.,45 m²,Planta 2ª exterior con ascensor,"
Luminoso y muy alegre apartamento exterior, planta 2ª, amueblado, ideal para personas solas o parejas sin hijos. Muy funcional: cocina americana, puerta corredera de madera que permite aislar el salón-comedor del dormitorio y separar las dos habitaciones. Aire acondicionado/calefacción/bomba de calor. Dobles ventanas-aislantes de frío y calor en ambas habitaciones. Suelo de parqué. Servicio de conserje (lunes a viernes, en horario habitual). Posible disponibilidad de plaza de garaje (sujeto a la disponibilidad del momento). Muy bien comunicado por metro (Quevedo, Argüelles, Moncloa) y muchas líneas de autobús. (Intercambiador de Moncloa a 10 minutos). Barrio animado y con múltiples servicios de todo tipo.* Disponible a partir de la primera semana de Diciembre.* Contacto interesados, por favor, preferentemente, por vía de correo electrónico para programar posibles visitas.Muchas gracias.
",1 baño,,,Amueblado y cocina equipada,"
Calle de Meléndez Valdés, 18
;
Barrio Arapiles
;
Distrito Chamberí
;
Madrid
;
Madrid capital, Madrid
","
Particular
","

Francisco

"
19,98982997,22/11/2022 19:12:08,"
Piso en calle Pintor Ignacio de Zuloaga, 16, Sanchinarro, Madrid
",840€/mes,1 hab.,64 m²,Planta 4ª exterior con ascensor,"
Cocina totalmente amueblada y equipada con todos los electrodomésticos de primeras marcas. Baños con mueble y mampara.NUEVAS ZONAS COMUNES •Piscina•Ajardinamiento zonas comunes•Remodelación interior portales•Sala comunitariaVivienda de 1 dormitorio con 1 baño, suelos de tarima, armarios empotrados, cocina independiente con lavadero. Urbanización cerrada situada en un barrio joven y consolidado dispone de plaza de garaje, trastero ascensor, servicio de conserjería, videovigilancia y vigilancia física.Además, cuenta también con bonitas zonas comunes, un jardín y un completo parque infantil, lugar idóneo para disfrutar del buen tiempo junto a los que más quieres.La urbanización cuenta con gran variedad de servicios a su alrededor, ya que cerca se encuentra El Corte Inglés, el centro educativo San Pablo CEU o el Centro Sanitario Sanitas la Moraleja.Zona muy bien comunicada, próxima a las paradas de autobús de las Líneas 172, 174 y N1; a 200 metros de las estaciones de Metro Álvarez de Villamil y Antonio Saura.Consulte condiciones y disponibilidad. Sin comisiones de agencia.*Infórmate de las condiciones especiales para funcionarios.REQUISITOS•Un mes de fianza.•Seguro de impago de rentas (¡sin avales ni otras garantías adicionales! ) •Seguro del Hogar. •Acreditar solvencia.La vivienda publicada y sus imágenes pueden no corresponderse a la disponibilidad real.
",1 baño,Calefacción individual: Gas natural,Plaza de garaje incluida en el precio,Cocina equipada y casa sin amueblar,"
Calle Pintor Ignacio de Zuloaga, 16
;
Urb. Edificio Sanchinarro II
;
Barrio Sanchinarro
;
Distrito Hortaleza
;
Madrid
;
Madrid capital, Madrid
","
Profesional
","
Lazora Alquiler

"
